id,type,text1,text2,text3,notes,Column 07,Column 08,Column 09,Column 10
vnc_savannah,PLANET,"A terran-extreme variant world with a nitrogen-oxygen atmosphere maintained by a relatively subdued biosphere that exists largely within the oceans that undergo periodic thaw periods. The surface is very cold indeed, but it is human-viable if precautions are observed. Carbon dioxide may freeze out of the atmosphere at the poles during the local winter.",,,,,,,
vnc_swamp,PLANET,"A lush and verdant biosphere sits on the surface of this water-rich world. Warm air and water currents permeate the planet's biosphere, leading to perfect conditions for flora and fauna at all latitudes.",,,,,,,
vnc_tropical,PLANET,A primitive atmosphere covers a world-ocean hundreds of kilometers deep. Its waters teem with primitive life and vast algae-analog mats can be seen by instruments from space. A core of water-ice over a rocky mantle is created by the terrific pressure of the sea.,,,,,,,
vnc_alpine,PLANET,"A geologically stable world with a nitrogen-oxygen atmosphere, a magnetic field and ample amounts of liquid water. The axis of rotation creates mild seasons. This type of planet is named for the reputed ancestral home of all human beings in the galaxy.",,,,,,,
vnc_terrestrial,PLANET,A near-terran compatible ecosystem has taken tentative hold on this world despite highly abnormal planetary conditions. That this planet maintains a breathable atmosphere (or near enough) is a testament to the tenacity and adaptability of biological life.,,,,,,,
vnc_terrestrial1,PLANET,A near-terran compatible ecosystem has taken tentative hold on this world despite highly abnormal planetary conditions. That this planet maintains a breathable atmosphere (or near enough) is a testament to the tenacity and adaptability of biological life.,,,,,,,
vnc_terrestrial2,PLANET,A near-terran compatible ecosystem has taken tentative hold on this world despite highly abnormal planetary conditions. That this planet maintains a breathable atmosphere (or near enough) is a testament to the tenacity and adaptability of biological life.,,,,,,,
vnc_terrestrial3,PLANET,A near-terran compatible ecosystem has taken tentative hold on this world despite highly abnormal planetary conditions. That this planet maintains a breathable atmosphere (or near enough) is a testament to the tenacity and adaptability of biological life.,,,,,,,
,,,,,,,,,
#CUSTOM PLANETS & STATIONS,,,,,,,,,
celaka_hideaway,CUSTOM,"At first seeming like an empty husk, near complete destruction, not being called a home for anyone but station dwelling rats and other animals left behind that somehow still managed to survive, this station turns out to be quite a good hideaway for anyone with a bounty on their head, that wants to take some time away from the rest of civilization, or to simply store their most precious belongings safely and secure. This hideaway is floating all the way out here between the nebula in the far reaches of the Celaka system for a reason.",,,,,,,
celaka_konta,CUSTOM,"Home to the Void Sakura Empire, the former regular city of Konta which started out as a village between tribes, has over the years successfully expanded across the entire planet after the countless wars between the Void Sakura Empire and the Exile Republic once the Republic left the planet and showed to not return in months as their last planetary headquarters fell under the combined forces' last push of the VSE lead by VINDAC.","Test a, to the test b",Flying towards,,,,,
celaka_vnc_vanguard,CUSTOM,"The VNC Vanguard is the citadel battlestation of the Void Sakura Empire. Built after the planetary war with the Exile Republic came to a close, it's now the first line of defense of Konta in case of raids, invasions, and other forms of attack. If in any case somehow control is being taken over Konta without taking out the Vanguard, it may just prove that unauthorized control over the planet will be short lasting.",,,,,,,
celaka_exileania,CUSTOM,"After being chased off the planet of Konta after many years of conflict with the Void Sakura Empire, the Exiles Republic retreated to their true stronghold; a planet given the name Exileania by the Republic on the other side of the system. From here, it was going to be either a final stand, or rising above their past mistakes.",,,,,,,
celaka_valmercyii,CUSTOM,"Being the second iteration of the once held port of Valmercy back on the planet now covered by Konta absorbing the name onto the planet, this station allows for bigger and better production of ships for whichever faction has control over it.",,,,,,,
,,,,,,,,,
#CUSTOM SHIPS,,,,,,,,,
vindac_conquest_fs,SHIP,"The VINDAC Conquest FS-class battlecruiser is the flagship of General Koyashi of the Void Nite Defense and Assault Corp, VINDAC for short. This ship is the embodiment of concentrated firepower, and has become even stronger with this variant made by ""Nite Corp"". In need of a flagship within the Persean sector, the Conquest was one of the best picks to become a flagship of this PMC together with their own ingenuity. Developed in the period just preceding the popularization of fighter craft, the class emphasizes firepower and speed over armor protection.

Space Naval tacticians of the day were confident that new weapons tnb.vndac.world.systems would always outperform armor and shields and thus were the key to winning an engagement. So why not build a ship for speed and power? Give it the armor protection of a cruiser, but arm it with the best weapons available to any ship, and have it remain faster than any of those lumbering behemoths of the line. The Conquest is a good example of these concepts put into a hull. Many other advanced technologies were incorporated into the design, including weapon mounts designed for a circling engagement. This maneuver requires greater navigational skill while serving to provide more tactical options to the commanding officers.

Fortune favors the bold, the ancients said. This class of ships does indeed favor the bold captain, willing to risk everything for the thrill of victory.",,,,,,,
